1,7,3,3.302401376309,0.0,52.3,53.5,30.0,0.6554069710083307,0
2,1,2,3.1110691457009993,0.0,51.5,52.3,29.0,0.6879150167916982,0
3,2,2,2.9203636795920005,0.0,52.3,50.4,30.0,0.7346332791245382,0
4,1,2,2.6999459489700004,0.0,52.3,54.3,29.0,0.7858047722459758,0
5,2,0,3.022693729344,0.0,55.0,54.6,31.0,0.7166846978912952,0
6,1,0,2.945160841228,0.0,53.5,52.3,29.0,0.7241292621318537,0
7,2,0,2.7965826237569997,0.0,53.9,54.6,30.0,0.764945627607265,[5.614144325256348, 6.559056282043457, 3.777604103088379]
8,2,2,2.973994151106,0.0,54.6,53.5,31.0,0.727519498926431,[0.912646472454071, 7.599249839782715, 3.2182352542877197]
24,1,2,3.0518326342610003,0.0,52.7,52.3,29.0,0.700393134936667,[2.2818570137023926, 4.305129528045654, 2.0271546840667725, 3.8264546394348145]
25,1,2,3.2340162002709993,0.0,53.5,55.0,30.0,0.6682131603065521,[2.4727447032928467, 1.0590366125106812, 0.11420440673828125, 0.38355305790901184]
26,2,0,2.99123276634,0.0,52.3,53.9,29.0,0.7136698535530969,[1.2309129238128662, 2.4868533611297607, 0.508712887763977, 8.506692886352539]
27,2,2,2.645153092834,0.0,55.0,54.6,30.0,0.8058869725353058,[1.3148438930511475, 6.931986331939697, 2.9284214973449707, 3.3815999031066895]
28,1,2,2.8229945347560004,0.0,54.3,52.7,31.0,0.7634907623688354,[0.5626247525215149, 2.3566646575927734, 3.7284185886383057, 0.47887468338012695]
29,0,2,2.7577784128230003,0.0,52.7,52.7,26.0,0.7585946984480122,[1.0416134595870972, 4.3309760093688965, 2.999610424041748, 4.02311897277832]
30,2,0,3.1507042750550003,0.0,52.7,53.1,31.0,0.6898019315446783,[5.064677715301514, 0.9149383306503296, 0.8203210234642029, 3.630864381790161]
31,1,2,2.934967299208,0.0,53.9,53.9,30.0,0.7312256658403807,[1.0301599502563477, 4.340829372406006, 0.6542739868164062, 0.9863053560256958]
32,2,0,2.872484362143,0.0,51.9,53.1,31.0,0.7512846258131689,[0.19094862043857574, 1.12541925907135, 0.0655859038233757, 1.4368137121200562]
33,2,2,2.7426324960299997,0.0,54.3,52.7,30.0,0.7790134604911356,[0.15529467165470123, 0.8633632063865662, 4.957459926605225, 2.9498939514160156]
